"Textstelle","CTH","Fundort","Dat","RefNr","Toponyms"
"1087/z II 11",427,"T.I","jh.","(342/u)","Ḫatti:cho"
"1087/z II 12",427,"T.I","jh.","(342/u)","Ḫatti:cho"
"1198/u Rs. 14'",105,"T.I","sjh.","(1198/u)","Ḫattarina:oik"
"1198/u Rs. 15'",105,"T.I","sjh.","(1198/u)","Arziya:cho"
"1198/u Rs. 16'",105,"T.I","sjh.","(1198/u)","Ankuwa:cho"
"1198/u Rs. 17'",105,"T.I","sjh.","(1198/u)","Ḫupišna:cho"
"1198/u Rs. 18'",105,"T.I","sjh.","(1198/u)","Landa:oik"
"1198/u Rs. 19'",105,"T.I","sjh.","(1198/u)","Pišaiša:oro, Pišaiša:cho"
"1198/u Vs. 1",105,"T.I","sjh.","(1198/u)","Arinna:cho, Ḫatti:cho"
"1198/u Vs. 2",105,"T.I","sjh.","(1198/u)","Ḫatti:cho"
"1198/u Vs. 5",105,"T.I","sjh.","(1198/u)","Ḫatti:cho"
"1198/u Vs. 6",105,"T.I","sjh.","(1198/u)","Ḫatti:cho"
"1304/u II 71",81,"T.I","jh.","(1304/u)","Mizri:cho"
"1304/u II 79",81,"T.I","jh.","(1304/u)","Mizri:cho"
"1304/u II 80",81,"T.I","jh.","(1304/u)","Lawazantiya:oik"
"1312/u Rs. 2'",222,"T.I","mh.","(1312/u)","Waštišša:oik"
"1312/u Rs. 4'",222,"T.I","mh.","(1312/u)","Šarišša:oro, Ḫatti:cho, Šarišša:oik"
"1312/u Rs. 5'",222,"T.I","mh.","(1312/u)","Šarišša:oro, Ḫatti:cho, Šarišša:oik"
"1312/u Rs. 9'",222,"T.I","mh.","(1312/u)","Ḫatti:cho"
"1312/u Vs. 11'",222,"T.I","mh.","(1312/u)","Waštišša:oik"
"1312/u Vs. 15'",222,"T.I","mh.","(1312/u)","Wi[:oro, Wi[:oik"
"1325/z 2'",222,"T.I","mh.","(1325/z)","Paḫšuna:oik"
"1325/z 3'",222,"T.I","mh.","(1325/z)","Ka[:oro, Ka[:cho"
"1381/u 6'",585,"T.I","jh.","(1381/u)","Zikkištera:oik"
"1436/u 1' + 1198/u Vs. 5",105,"T.I","sjh.","(1198/u)","Amurru:cho"
"1513/u I 25",81,"T.I","sjh.","(1513/u)","Alašiya:cho"
"162/k Rs. 9’ + KBo 8.27 Rs. 9'",222,"Bk. D","mh.","(162/k)","Kammama:cho"
"1683/u IV 28",81,"T.I","jh.","(1304/u)","Ḫattuša:cho"
"1683/u IV 32",81,"T.I","jh.","(1304/u)","Nuḫašše:cho"
"194/rI V 17'",613,"Bk. K","jh.","(194/rA)","Karaḫna:cho"
"2064/g Rs. 10",222,"T.I","mh.","(2064/g)","Ḫurla:oro, Ḫurla:oik"
"2064/g Rs. 12'",222,"T.I","mh.","(2064/g)","Šarišša:oro, Šarišša:oik"
"2064/g Rs. 13’",222,"T.I","mh.","(2064/g)","Ḫatti:cho"
"2064/g Rs. 4'",222,"T.I","mh.","(2064/g)","Ḫiwaššalli:oik"
"2064/g Rs. 7’",222,"T.I","mh.","(2064/g)","]ziya:oik"
"2064/g Rs. 8’",222,"T.I","mh.","(2064/g)","Ḫa[:oro, Ḫa[:cho"
"2064/g Vs. 14",222,"T.I","mh.","(2064/g)","Zantananta:oik"
"2064/g Vs. 3",222,"T.I","mh.","(2064/g)","Ankuwa:cho"
"2064/g Vs. 5",222,"T.I","mh.","(2064/g)","Šitḫana:oro"
"2064/g Vs. 8",222,"T.I","mh.","(2064/g)","Niwanzuya:oik"
"2064/g Vs. 9",222,"T.I","mh.","(2064/g)","Alaliya:oik"
"2078/g Rs. 1’",222,"T.I","mh.","(2078/g)","Danku[:oro"
"2078/g Rs. 4’",222,"T.I","mh.","(2078/g)","Ankuwa:cho"
"2078/g Rs. 7’",222,"T.I","mh.","(2078/g)","Ḫatti:cho"
"2078/g Rs. 9’",222,"T.I","mh.","(2078/g)","Ḫatti:cho"
"248/w 10'",81,"T.I","jh.","(248/w)","Šamuḫa:cho"
"275/f Vs. 8",222,"Bk. C","mh.","(275/f)","Ḫilamma (?):oik"
"301/z 4'",222,"T.I","mh.","(301/z)","Ḫatti:cho"
"301/z Rs. 4’",222,"T.I","mh.","(301/z)","Ḫatti:cho"
"389/f Rs. 3",222,"Bk. C","mh.","(389/f)","Kammama:cho"
"518/z Rs. 7’",222,"T.I","mh.","(518/z)","Ḫatti:cho"
