"To","From","total_count"
26,2609,1
29,1896,1
31,86,2
31,224,1
31,246,1
31,620,1
31,909,1
31,854,1
31,855,1
31,1057,1
31,1482,3
31,1483,3
31,2032,5
31,2057,2
31,2606,1
31,1708,1
23,22,2
24,1089,1
24,1253,1
25,24,75
25,1089,1
25,1253,1
42,895,1
43,42,6
43,895,1
44,53,2
44,247,1
44,254,3
44,886,5
44,999,1
44,1482,9
44,1992,1
44,2032,1
44,2082,1
44,1764,1
53,92,2
53,246,9
53,247,3
53,210,2
53,280,2
53,334,4
53,341,1
53,582,1
53,933,1
53,1023,1
53,1024,4
53,1121,1
53,1140,1
53,1166,1
53,1302,3
53,1432,3
53,1482,4
53,1502,2
53,1505,1
53,1524,1
53,1531,1
53,1673,2
53,2092,2
53,2277,1
53,2312,4
53,2506,1
53,2606,3
53,1758,4
53,1791,1
53,1805,1
56,714,2
58,1610,1
60,1037,1
63,139,2
63,334,2
63,409,2
63,727,2
63,950,1
63,1033,2
63,2211,2
64,1397,1
65,1850,1
68,1378,1
68,1991,1
70,1511,1
71,2239,1
75,361,1
75,726,2
77,1982,1
80,1876,1
82,2537,1
84,981,1
86,244,6
86,280,1
86,335,3
86,427,2
86,727,1
86,908,1
86,1020,1
86,1081,2
86,1087,3
86,1044,2
86,1057,1
86,1241,1
86,1209,1
86,1482,2
86,1609,1
86,2054,2
86,2105,4
86,2169,1
86,2511,1
86,2624,1
88,87,4
88,1683,1
91,299,1
91,687,1
91,2457,1
92,1023,1
92,1428,1
92,2285,1
92,1760,1
94,258,1
102,1141,1
102,1142,1
102,1926,1
104,105,8
104,1791,2
107,1679,1
108,1563,1
111,1271,1
111,2372,1
112,918,1
112,2416,1
112,2662,1
112,1847,1
115,114,2
116,916,1
116,1988,3
119,1020,1
119,1679,1
132,1401,1
135,580,1
135,1111,1
135,1564,1
137,1253,1
137,1363,1
139,334,3
139,409,2
139,727,2
139,950,1
139,1033,2
139,2176,1
139,2211,2
144,2433,2
141,2146,1
142,1208,1
146,172,3
146,2504,1
146,1867,1
149,2451,1
149,2489,1
157,246,1
158,157,2
158,246,1
159,1484,1
160,2004,1
161,2353,1
161,2541,1
165,2365,1
169,1898,1
170,242,1
168,869,1
171,790,1
171,936,2
171,1291,1
171,1494,2
171,1603,1
171,2309,1
172,1371,1
173,146,3
173,172,19
173,547,1
