"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"URU","Á.ŠEŠ[",NA,"KBo 3.13 Vs. 4'",311,"<U+1E2A>attuša","jh.","(VAT 13009)","Á.ŠEŠ"
"br.","Á.ŠEŠ",NA,"KBo 18.161 Vs. 16'",244,"Bk. D","sjh.","(204/g)","Á.ŠEŠ"
"URU","DU6",NA,"KUB 6.45 II 5",381,"T.I","jh.","(844/v)","DU6"
"URU","DU6",NA,"KUB 6.46 II 48",381,"<U+1E2A>attuša","jh.","(VAT 7512)","DU6"
"URU","GURUN-aš-ša",NA,"KBo 18.58 Vs. 9",188,"Bk. D","mh.","(370/w)","GURUN-ašša"
"URU","GÚ.DU8.ŠÚ.A",NA,"KBo 3.13 Rs. 12'",311,"<U+1E2A>attuša","jh.","(VAT 13009)","GÚ.DU8.ŠÚ.A"
"KUR URU","GÚ.ŠÚ.A",NA,"KBo 3.13 Vs. 9'",311,"<U+1E2A>attuša","jh.","(VAT 13009)","GÚ.ŠÚ.A"
"—","K]A(?)","KI","KBo 19.33 6'",819,"T.I","k.A.","(Bo 68/218)","KA (?)"
"—","KI(?)","KI","KBo 19.33 10'",819,"T.I","k.A.","(Bo 68/218)","KI (?)"
"br.","GIŠK]IN.TI","KI","KBo 19.33 8'",819,"T.I","k.A.","(Bo 68/218)","KIN.TI"
"KUR","UGU-ya-mu",NA,"KUB 1.1 I 26",81,"T.I","jh.","(1304/u)","KUR UGU"
"KUR","UGU-TI",NA,"KUB 1.1 I 27",81,"T.I","jh.","(1304/u)","KUR UGU"
"KUR","UGU-TI",NA,"KUB 1.1 IV 3",81,"T.I","jh.","(1304/u)","KUR UGU"
"KUR","UGU-TI",NA,"KUB 1.1 IV 4",81,"T.I","jh.","(1304/u)","KUR UGU"
"KUR","AN.TA",NA,"KUB 1.10 III 18'",81,"T.I","sjh.","(1513/u)","KUR UGU"
"KUR","AN.TA",NA,"KUB 1.10 III 20'",81,"T.I","sjh.","(1513/u)","KUR UGU"
"KUR","UGU-TI",NA,"KUB 1.4 III 47",81,"T.I","jh.","(674/v)","KUR UGU"
"KUR","UGU-TI",NA,"KUB 1.4 III 48",81,"T.I","jh.","(674/v)","KUR UGU"
"KUR URU","UGU-TI-ya-mu",NA,"KBo 3.6 I 22",81,"T.I","jh.","(674/v)","KUR UGU"
"KUR URU","UGU-TI",NA,"KBo 3.6 I 23",81,"T.I","jh.","(674/v)","KUR UGU"
"KUR","UGU",NA,"HKM 18 18",186,"Masat","mh.","(Mst. 75/61)","KUR UGU"
"KUR","UGU-TIM",NA,"HKM 42 8'",186,"Masat","mh.","(Mst. 75/26)","KUR UGU"
"KUR","UGU",NA,"HKM 71 26",190,"Masat","mh.","(Mst. 75/111)","KUR UGU"
"KUR","UGU-TIM",NA,"HKM 96 17'",188,"Masat","mh.","(Mst. 75/79)","KUR UGU"
"KUR","UGU-TIM",NA,"HKM 96 21'",188,"Masat","mh.","(Mst. 75/79)","KUR UGU"
"KUR","UGU",NA,"HKM 96 4'",188,"Masat","mh.","(Mst. 75/79)","KUR UGU"
