"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"<U+1E2A>UR.SAG","ERIN",NA,"KBo 3.13 Vs. 13'",311,"<U+1E2A>attuša","jh.","(VAT 13009)","ERIN"
"<U+1E2A>UR.SAG?","GE6",NA,"KBo 70.109 II 19",527,"Bkaya","jh.","(Bo 97/7)","GE6"
"<U+1E2A>UR.SAG?","GE6",NA,"KBo 70.109 II 22",527,"Bkaya","jh.","(Bo 97/7)","GE6"
"<U+1E2A>UR.SAG","GUŠKIN(-)x[",NA,"KUB 58.109 Vs. 12'",780,"T.I *","jh.","(767/t)","GUŠKIN"
"<U+1E2A>UR.SAG","MÁŠ.ANŠE-an-ta-aš",NA,"KUB 38.23 Vs. 11'",526,"<U+1E2A>attuša","sjh.","(Bo 563)","MÁŠ.ANŠE-anta"
"pa-ap-pé-e[n-na]","]x-ta-ra",NA,"KBo 15.52 I I 15 + KBo 16.95 lk. Kol. 2'",628,"Bk. A","jh.","(406/f)","]tara"
"<U+1E2A>UR.SAG","x-wa-ra",NA,"Bo 6171 10'",670,"<U+1E2A>attuša","sjh.","(Bo 6171)","]wara"
"<U+1E2A>UR.SAG","a-[",NA,"ABoT 2.103 Vs. 2'",500,"<U+1E2A>attuša","jh.","(AnAr 10313)","A["
"URU","a-x[",NA,"KBo 12.14 Vs. 5",14,"HaH","jh.","(309/t)","A["
"URU","a-[",NA,"KUB 14.1 Rs. 91",147,"T.I","mh.","(603/u)","A["
"URU","a-[",NA,"KUB 30.68 Vs. 1'",278,"Bk. A","mh.","(363/b)","A["
"URU","a-[",NA,"KBo 40.249 Vs. 9'",832,"Bk. A","k.A.","(361/c)","A["
"URU","a-x[",NA,"KBo 50.33 Rs. 2",61,"Bk.","jh.","(1311/v)","A["
"<U+1E2A>UR.SAG","a-x[",NA,"KBo 53.74 8'",348,"T.I","jh.","(1721/u)","A["
"<U+1E2A>UR.SAG","a-d[a?",NA,"KBo 53.216 I 30'",699,"T.I","jh.","(1744/u)","A["
"URU","<U+2E22>a<U+2E23>-[",NA,"KBo 54.278 Vs. 1'",222,"T.I","ah.?","(126/v)","A["
"URU","a-[",NA,"KBo 56.267 2'",832,"HaH","jh.","(35/u)","A["
