"GeogrMark","Translit","GeoM","Textstelle","CTH","Fundort","Dat","RefNr","Toponym"
"A<U+1E2A>I.A","LÚMEŠDAM.GAR",NA,"KUB 40.106 III 6",562,"<U+1E2A>attuša","jh.","(Bo 5607)","A°<U+1E2A>I.A° LÚ°MEŠ°DAM.GAR"
"KUR ÍD","GAM-ta",NA,"KUB 42.103 III 6",698,"<U+1E2A>attuša","sjh.","(Bo 241)","GAM-ta"
"—","PÚ-ma-ri-aš",NA,"KBo 12.135 VII 12'",664,"HaH","sjh.","(13/s)","PÚ-mari"
"ÍD","PÚ-mar",NA,"KBo 33.202 Vs. 9'",776,"Bk. D","mh.?","(1900/u)","PÚ-mari"
"ÍD","PÚ-mar-ya",NA,"KBo 23.27 II 9'",776,"Bk. A","mh.","(1234/c)","PÚ-mari"
"ÍD","PÚ-ma-ri",NA,"KBo 54.72 4'",492,"T.I *","jh.","(62/u)","PÚ-mari"
"—","PÚ-ma-ri",NA,"KUB 17.20 III 13'",492,"T.I","jh.","(1864/u)","PÚ-mari"
"ÍD","SA5",NA,"KBo 7.16 4'",40,"Bk. A","sjh.","(6/k)","SA5"
"ÍD","SA5",NA,"KBo 12.94 3'",458,"HaH","jh.","(522/t)","SA5"
"ÍD","SA5",NA,"KBo 12.94 3'",458,"HaH","jh.","(522/t)","SA5"
"ÍD","SA5",NA,"KBo 2.5 II 2",61,"Bk. E","jh.","(1766/c)","SA5"
"ÍD","SA5",NA,"KBo 23.27 II 28'",776,"Bk. A","mh.","(1234/c)","SA5"
"ÍD","SA5-ša-an",NA,"KBo 23.27 II 31'",776,"Bk. A","mh.","(1234/c)","SA5"
"[UR]U.ÍD","SA5",NA,"KUB 26.54 14",237,"<U+1E2A>attuša","sjh.","(Bo 505)","SA5"
"ÍD","SA5",NA,"KBo 7.16 4'",40,"Bk. A","sjh.","(6/k)","SA5"
"ÍD","SA5",NA,"KBo 12.94 3'",458,"HaH","jh.","(522/t)","SA5"
"ÍD","SA5",NA,"KBo 12.94 3'",458,"HaH","jh.","(522/t)","SA5"
"ÍD","SA5",NA,"KBo 2.5 II 2",61,"Bk. E","jh.","(1766/c)","SA5"
"ÍD","SA5",NA,"KBo 23.27 II 28'",776,"Bk. A","mh.","(1234/c)","SA5"
"ÍD","SA5-ša-an",NA,"KBo 23.27 II 31'",776,"Bk. A","mh.","(1234/c)","SA5"
"[UR]U.ÍD","SA5",NA,"KUB 26.54 14",237,"<U+1E2A>attuša","sjh.","(Bo 505)","SA5"
"<U+02F9>ÍD<U+02FA>","x-pa-an-za",NA,"KUB 55.38 II 3",683,"<U+1E2A>attuša","mh.","(Bo 2393)","]panza"
"ÍD","a-x[",NA,"KBo 52.257 6’",832,"T.I","jh.","(1089/u)","A[ (?)"
"ÍD","a-al-da",NA,"Bo 7850 IV 3'",628,"<U+1E2A>attuša","jh.","(Bo 7850)","Alda"
"ÍD","al-da",NA,"KBo 15.59 III 7'",628,"Bk. A","jh.","(406/f)","Alda"
"ÍD","al-da",NA,"KBo 15.69 IV 13",628,"Bk. A","jh.","(131/c)","Alda"
"ÍD","a-al-da",NA,"KBo 17.102 Rs. 18'",699,"Bk. C","mh.?","(654/f)","Alda"
"ÍD","a-al-da-ma-kán",NA,"KBo 17.103 Rs. 12'",706,"Bk. D","jh.","(456/e)","Alda"
"ÍD","a-al-da[",NA,"KBo 20.117 Rs. 15",628,"Bk. A","jh.","(332/b)","Alda"
"ÍD","a-al-[",NA,"KBo 24.13 IV 17'",628,"Bk. A","jh.","(454/c)","Alda"
"ÍD","al-ta-aš-š[a",NA,"KBo 41.56 2",628,"Bk. A","jh.","(2750/c)","Alda"
"ÍD","a-al-d[a",NA,"KBo 46.143 4'",628,"Bk. A","mh.","(288/q)","Alda"
